qui paye ?,date,qui reçoit,poste,montant,nature,Facture correspondante
B2T,01/01/2021,B2T,"locations","300,00 €",esp,
B2T,03/01/2021,Hotel,"déplacements, missions et réceptions","1330,30 €",cb,20210103-gite.pdf
Stéphane,23/01/2021,Heroku,"frais postaux et de télécommunications","300,00 €",cb,20210103-andreas.pdf
elie,24/01/2021,B2T,"prestations de services","600,00 €",vir,FAC-0001,
B2T,01/02/2021,B2T,"locations","300,00 €",esp,
B2T,23/02/2021,Stéphane,"achats de marchandises","30,00 €",,
pat,12/03/2021,B2T,"ventes de marchandises","30,00 €",stripe,stripe
sofia,13/03/2021,B2T,"cotisations","10,00 €",esp,
B2T,13/03/2021,Stéphane,"autres comptes débiteurs ou créditeurs","20,00 €",vir,
B2T,21/03/2021,B2T,"locations","300,00 €",esp,
Sofia,28/03/2021,B2T,"dons manuels","3000,00 €",esp,
